site_code,description,lu_prop
CH_002_BS,Urban,0.351268073
CH_002_BS,Agriculture,0.271154302
CH_002_BS,Forest,0.377577625
CH_007_BE,Urban,0.143312102
CH_007_BE,Agriculture,0.598018401
CH_007_BE,Forest,0.258669498
CH_009_SO,Urban,0.083644666
CH_009_SO,Agriculture,0.617476131
CH_009_SO,Forest,0.298879203
CH_011_SO,Urban,0.054708303
CH_011_SO,Agriculture,0.398208666
CH_011_SO,Forest,0.547083031
CH_012_OW,Urban,0.078314412
CH_012_OW,Agriculture,0.469886473
CH_012_OW,Forest,0.451799115
CH_014_LU,Urban,0.362972328
CH_014_LU,Agriculture,0.319005478
CH_014_LU,Forest,0.318022194
CH_015_VS,Urban,0.078589109
CH_015_VS,Agriculture,0.343234323
CH_015_VS,Forest,0.578176568
CH_016_VS,Urban,0.053168344
CH_016_VS,Agriculture,0.280527604
CH_016_VS,Forest,0.666304052
CH_017_VS,Urban,0.175103306
CH_017_VS,Agriculture,0.296118654
CH_017_VS,Forest,0.52877804
CH_018_VS,Urban,0.069987876
CH_018_VS,Agriculture,0.177890444
CH_018_VS,Forest,0.75212168
CH_020_VD,Urban,0.180555556
CH_020_VD,Agriculture,0.677302302
CH_020_VD,Forest,0.142142142
CH_021_VD,Urban,0.300813008
CH_021_VD,Agriculture,0.652729384
CH_021_VD,Forest,0.046457607
CH_022_VD,Urban,0.225490196
CH_022_VD,Agriculture,0.699690402
CH_022_VD,Forest,0.074819401
CH_023_SG,Urban,0.398611111
CH_023_SG,Agriculture,0.356018519
CH_023_SG,Forest,0.24537037
CH_025_SG,Urban,0.210825795
CH_025_SG,Agriculture,0.483221477
CH_025_SG,Forest,0.305952728
CH_026_SG,Urban,0.166352135
CH_026_SG,Agriculture,0.587055288
CH_026_SG,Forest,0.246592577
CH_027_SG,Urban,0.065316102
CH_027_SG,Agriculture,0.521655606
CH_027_SG,Forest,0.413028292
CH_028_SG,Urban,0.178545586
CH_028_SG,Agriculture,0.562590449
CH_028_SG,Forest,0.258863965
CH_032_AG,Urban,0.115231166
